BEDRIJFSNAAM;VESTIGINGSPLAATS;UITGEKEERDE SUBSIDIEBEDRAG
MARTINAIR HOLLAND N.V.;SCHIPHOL;2395148
HOTEL OKURA AMSTERDAM B.V.;AMSTERDAM;2385924
VOESTALPINE AUTOMOTIVE COMPONENTS   BUNSCHOTEN B.V.;BUNSCHOTEN-SPAKENBURG;2353600
WENSINK AUTOMOTIVE B.V.;ZWOLLE;2346188
STATIONSFOODSTORE B.V.;UTRECHT;2341440
FLETCHER ACADEMY B.V.;NIEUWEGEIN;2328192
FLETCHER HOTEL EXPLOITATIES B.V.;NIEUWEGEIN;2302224
CONSERVATORIUM HOTEL B.V.;AMSTERDAM;2294120
TIMING PERSONEELSDIENSTEN B.V.;APELDOORN;2247656
UNITED B.V.;HILVERSUM;2233504
PERSOONALITY PAYROLLING B.V.;APELDOORN;2219624
SUNWEB GROUP NETHERLANDS B.V.;ROTTERDAM;2214748
KUHN-GELDROP B.V.;GELDROP;2214312
KOLIBRIE PAYROLLING B.V.;TILBURG;2208320
PAYROLL SELECT PN PAYROLL B.V.;DEVENTER;2202552
TIQETS INTERNATIONAL B.V.;AMSTERDAM;2201096
CROWN VAN GELDER B.V.;VELSEN-NOORD;2198372
ACTIEF WERKT! UITZENDBUREAU B.V.;BREDA;2185780
VLISCO NETHERLANDS B.V.;HELMOND;2177392
COMPASS GROUP NEDERLAND HOLDING B.V.;AMSTERDAM;2164416
BIRD RIDES EUROPE B.V.;AMSTERDAM;2153312
JAQUET & DE GROOT                   SCHOONMAAKBEDRIJVEN B.V.;ROTTERDAM;2147820
NCOI OPLEIDINGEN B.V.;HILVERSUM;2134576
TAXIWERQ HRM DIENSTEN B.V.;HOOGEVEEN;2133736
NH THE NETHERLANDS B.V.;HOOFDDORP;2127140
CORENDON DUTCH AIRLINES B.V.;LIJNDEN;2125309
MAISON VAN DEN BOER B.V.;VEGHEL;2124708
PAYROLLBUREAU B.V.;BARNEVELD;2123460
NEP MEDIA SOLUTIONS B.V.;HILVERSUM;2120384
AFS UITZENDBUREAU B.V.;SCHIPHOL;2118068
BASIC FIT NEDERLAND B.V.;HOOFDDORP;2115284
MOJO CONCERTS B.V.;DELFT;2101404
RICOH NEDERLAND B.V.;'S-HERTOGENBOSCH;2079644
VIGGO EINDHOVEN AIRPORT B.V.;EINDHOVEN;2073156
HAMILTON SUNDSTRAND CUSTOMER        SUPPORT CENTER MAASTRICHT B.V.;MAASTRICHT-AIRPORT;2063716
CARRIERE PERSONEELSDIENSTEN B.V.;'S-GRAVENHAGE;2033088
EURAIL B.V.;UTRECHT;2027004
HOTEL MAATSCHAPPIJ OUD-AMSTERDAM B.V;PURMEREND;2017332
TENTOO COLLECTIVE FREELANCE & FLEX  B.V.;AMSTERDAM;2016256
LAGARDÈRE TRAVEL RETAIL             SCHIPHOL B.V.;LIJNDEN;2015580
MITSUBISHI TURBOCHARGER AND         ENGINE EUROPE B.V.;ALMERE;2013116
HOLLANDER TECHNIEK B.V.;APELDOORN;1981808
SSP NEDERLAND B.V.;UTRECHT;1980836
N.V. PERSONEEL DE NOORD-WESTHOEK;HEERENVEEN;1962368
VDL ENABLING TECHNOLOGIES GROUP     EINDHOVEN B.V.;EINDHOVEN;1957768
ALBRON CP NEDERLAND B.V.;DE MEERN;1954944
24 HR SERVICES B.V.;SCHIEDAM;1932292
PETROGAS E&P NETHERLANDS B.V.;RIJSWIJK ZH;1923432
DHP OPERATIONAL SUPPORT B.V.;AMSTERDAM;1922284
CEGEKA CONSULTING B.V.;VEENENDAAL;1919660
HORECA EXPLOITATIE MAATSCHAPPIJ     SCHIPHOL B.V.;SCHIPHOL;1916780
WILA B.V.;LOCHEM;1908952
HILTON INTERNATIONAL NEDERLAND B.V.;AMSTERDAM;1891152
JVH HOSPITALITY B.V.;'S-HERTOGENBOSCH;1888928
FAURECIA EMISSIONS CONTROL          TECHNOLOGIES NETHERLANDS B.V.;ROERMOND;1876028
TN EUROPE B.V.;VEENENDAAL;1875120
EUREST SERVICES B.V.;AMSTERDAM;1871348
SPGPRINTS B.V.;BOXMEER;1862364
IN PERSON BEMIDDELINGSDIENSTEN B.V.;APELDOORN;1861208
HUTTEN SERVICE KANTOOR B.V.;VEGHEL;1861164
MARFO B.V.;LELYSTAD;1857968
GEBO TOURS B.V.;NIEUWLEUSEN;1852532
MODULAIRE GEMEENSCHAPPELIJKE        REGELING RIJK VAN NIJMEGEN;NIJMEGEN;1829984
BCD TRAVEL SERVICES B.V.;UTRECHT;1796260
EIFFEL B.V.;ARNHEM;1794016
P. JONG EXPORT EN GROOTHANDEL VAN   BLOEMEN B.V.;ZWAAGDIJK-OOST;1793492
NEXTPAYROLL B.V.;ROTTERDAM;1792300
"B.V.KONINKLIJKE NEDERLANDSCHE       GLASFABRIEK ""LEERDAM""";LEERDAM;1786664
QBUZZ MULTIMODAAL B.V.;AMERSFOORT;1781180
STICHTING VAN GOGH MUSEUM VOORHEEN  RIJKSMUSEUM VINCENT VAN GOGH /      RIJKSMUSEUM H.W. MESDAG;AMSTERDAM;1779244
ELECTRIC GLASS FIBER NL, B.V.;WESTERBROEK;1772856
KONINKLIJKE NEDERLANDSE VOETBALBOND;ZEIST;1763844
KONINKLIJKE FABRIEK INVENTUM B.V.;NIEUWEGEIN;1750236
NEDSCHROEF HELMOND B.V.;HELMOND;1718232
B.V. VITESSE;ARNHEM;1711908
ABEOS CROSS BORDER SERVICES B.V.;ALMEN;1707880
EUROPEAN PNEUMATIC COMPONENT OVERHAUL AND REPAIR - (EPCOR) B.V.;SCHIPHOL-RIJK;1707420
SCHIPHOL AIRPORT RETAIL B.V.;HOOFDDORP;1687436
AWL-TECHNIEK B.V.;HARDERWIJK;1683452
TATA STEEL IJMUIDEN B.V.;VELSEN-NOORD;1682692
MANPOWER BUSINESS SERVICES B.V.;DIEMEN;1681140
STICHTING HET RIJKSMUSEUM;AMSTERDAM;1676952
FOKKER ELMO B.V.;HOOGERHEIDE;1674764
MANPOWER MANAGEMENT B.V.;DIEMEN;1674364
AERONAMIC B.V.;ALMELO;1670395
METAAL FLEX NEDERLAND B.V.;HAPERT;1666448
HMSHOST INTERNATIONAL B.V.;SCHIPHOL;1666232
WISDOM PROPERTY NL II B.V.;AMSTERDAM;1662556
EAZY HAIR HOLLAND B.V.;ROTTERDAM;1659992
ACTIEF TECHNIEK B.V.;GRONINGEN;1640404
DIT TECHNICAL SERVICES 1 B.V.;WAARDENBURG;1637228
MANPOWER TALENT B.V.;DIEMEN;1628868
ACCOR HOSPITALITY NEDERLAND N.V.;SCHIPHOL;1623348
TATA STEEL NEDERLAND TECHNOLOGY B.V.;VELSEN-NOORD;1617516
ANDRE RIEU PRODUCTIONS B.V.;MAASTRICHT;1608124
SIRCLE COLLECTION B.V.;AMSTERDAM;1607652
SCHEEPSWERF DE HOOP LOBITH B.V.;TOLKAMER;1607456
JOEVER B.V.;LIJNDEN;1604384
EASYFAIRS NEDERLAND B.V.;HARDENBERG;1587948
AUTOBEDRIJF VAN DEN UDENHOUT B.V.;'S-HERTOGENBOSCH;1585092
TATA STEEL NEDERLAND TUBES B.V.;OOSTERHOUT NB;1579584
SAB CATERING B.V.;'S-HERTOGENBOSCH;1576408
WITTE KRUIS MIDDELEN B.V.;IJSSELMUIDEN;1570652
WERK EN VAKMANSCHAP PERSONEELS B.V;ROOSENDAAL;1569556
DAM 9 B.V.;HOOFDDORP;1564576
WIERTZ PERSONEELSDIENSTEN B.V.;KERKRADE;1554556
SAPPI NETHERLANDS B.V.;MAASTRICHT;1553648
PERSOONALITY PAYROLLING B.V.;APELDOORN;1543792
FABER AUDIOVISUALS B.V.;ST.-ANNAPAROCHIE;1540928
SNR SCHOUTEN & NELISSEN RECOVERY B.V;ZALTBOMMEL;1537996
TIMING FLEX B.V.;APELDOORN;1532484
FOKKER SERVICES B.V.;HOOFDDORP;1528996
PROMENS ZEVENAAR B.V.;ZEVENAAR;1526216
VUE CINEMAS B.V.;AMSTERDAM;1525484
STICHTING NATIONALE OPERA & BALLET;AMSTERDAM;1521948
AB VAKWERK UITZENDORGANISATIE B.V.;SNEEK;1521512
BURGER FOOD RESTAURANTS I B.V.;AMSTERDAM;1517748
HOTEL MAATSCHAPPIJ SCHIPHOL BV;SCHIPHOL;1504640
VEBE FLOORCOVERINGS  B.V.;GENEMUIDEN;1496936
AHOY ROTTERDAM N.V.;ROTTERDAM;1493560
FOKKER TECHNIEK B.V.;HOOGERHEIDE;1487932
WIBRA SUPERMARKT B.V.;EPE;1484816
IN PERSON BEMIDDELINGSBUREAU B.V.;APELDOORN;1483424
CWT NEDERLAND B.V.;AMSTERDAM;1472780
KONINKLIJKE MOSA B.V.;MAASTRICHT;1470520
TIMING FLEXDIENSTEN B.V.;APELDOORN;1465356
FNSTEEL B.V.;ALBLASSERDAM;1460232
THE GRAND REAL ESTATE B.V.;AMSTERDAM;1453016
SELECTA NETHERLANDS B.V.;DORDRECHT;1452428
HYDRO EXTRUSION DRUNEN B.V.;DRUNEN;1450932
HITACHI CONSTRUCTION MACHINERY      (EUROPE) N.V.;OOSTERHOUT NB;1444344
LEISURE INTERNATIONAL NEDERLAND B.V.;AMSTERDAM;1443352
VDL ENABLING TECHNOLOGIES GROUP     ALMELO B.V.;ALMELO;1440996
IVECO SCHOUTEN B.V.;GIESSEN;1438632
HET KONINKLIJK CONCERTGEBOUW N.V.;AMSTERDAM;1436448
BASTION HOTELGROEP B.V.;UTRECHT;1428960
TAS INVESTMENTS B.V.;'S-GRAVENHAGE;1425652
LAGARDERE TRAVEL RETAIL             STATIONS B.V.;LIJNDEN;1424276
PATHE THEATRES B.V.;AMSTERDAM;1420620
ADECCO PERSONEELSDIENSTEN B.V.;ZALTBOMMEL;1414608
CITIZENM OPERATIONS HOLDING B.V.;VOORSCHOTEN;1408192
TRIPACTIONS LABS B.V.;AMSTERDAM;1405628
ASITO TRANSPORT AIRCRAFT            SERVICES B.V.;ALMELO;1397264
FC TWENTE '65 B.V.;ENSCHEDE;1386880
ROLAND B.V.;AMSTERDAM;1384640
SOLIDUS SOLUTIONS BOARD B.V.;BAD NIEUWESCHANS;1375964
REYHAN UITZENDBUREAU B.V.;'S-HEERENBERG;1369568
BASIC FIT INTERNATIONAL B.V.;HOOFDDORP;1363304
HMSHOST NEDERLAND B.V.;SCHIPHOL;1361576
CORENDON INTERNATIONAL TRAVEL B.V.;LIJNDEN;1357430
HOCRAS B.V.;ALMERE;1356084
SPIERINGS CRANE SERVICES B.V.;OSS;1355416
MATECO B.V.;ROTTERDAM;1352784
SIXT B.V.;HOOFDDORP;1351716
HOTEL PARK HANDELSKADE B.V.;AMSTERDAM;1346540
STICHTING CENTRE FOR HUMAN DRUG     RESEARCH (CHDR);LEIDEN;1340020
EUROJOB B.V.;HOOFDDORP;1336536
STICHTING STAYOKAY;AMSTERDAM;1333836
ALEWIJNSE MARINE B.V.;NIJMEGEN;1326128
ROSEN EUROPE B.V.;OLDENZAAL;1324056
GOMES NOORD-HOLLAND B.V.;ALKMAAR;1322712
AFC AJAX N.V.;AMSTERDAM;1319140
TEN BRINKE SERVICES B.V.;VARSSEVELD;1317348
BRONSWERK HEAT TRANSFER B.V.;NIJKERK GLD;1309012
SAFRAN CABIN CATERING B.V.;ALKMAAR;1308496
AMPCO FLASHLIGHT RENTAL B.V.;UTRECHT;1303412
FIBRANT B.V.;URMOND;1303024
JORRITSMA BOUW B.V.;BOLSWARD;1299688
PERSOONALITY PAYROLLING B.V.;APELDOORN;1299152
MONTAGE ONDERNEMING BENELUX B.V.;ROTTERDAM;1297716
LUCHTHAVEN HOTEL BELEGGINGS-        MAATSCHAPPIJ B.V.;SCHIPHOL;1294908
OSP B.V.;IJSSELSTEIN UT;1292884
72ANDSUNNY NL B.V.;AMSTERDAM;1287256
VAN HAREN SCHOENEN B.V.;WAALWIJK;1284180
PALACE HOTEL OPERATIONAL B.V.;AMSTERDAM;1282736
GIELISSEN'S BEDRIJVEN B.V.;EINDHOVEN;1282124
KLM HEALTH SERVICES B.V.;SCHIPHOL;1276476
KUPERS TOURINGCARS V.O.F.;WEERT;1276456
TEMPER B.V.;AMSTERDAM;1276268
PDZ UITZENDBUREAU B.V.;ZAANDAM;1273180
VERMAAT WINKELS/RESTAURANTS HOLDING B.V.;IJSSELSTEIN UT;1264624
APPEL B.V.;'S-HERTOGENBOSCH;1255008
VERMAAT SERVICEKANTOOR B.V.;IJSSELSTEIN UT;1254308
SAMCO AIRCRAFT MAINTENANCE B.V.;MAASTRICHT-AIRPORT;1253348
BRUNA B.V.;AMSTERDAM;1246072
SWISSPORT CARGO SERVICES            THE NETHERLANDS B.V.;SCHIPHOL;1243752
FEYENOORD ROTTERDAM N.V.;ROTTERDAM;1239872
FOKKER LANDING GEAR B.V.;HELMOND;1238916
TARKETT B.V.;WAALWIJK;1238696
LUMILEDS NETHERLANDS B.V.;EINDHOVEN;1236616
SOHO HOUSE AMSTERDAM B.V.;AMSTERDAM;1232808
STROMMA NEDERLAND B.V.;AMSTERDAM;1230584
OFFICE DEPOT INTERNATIONAL B.V.;VENLO;1226652
GEMEENTE SOMEREN;SOMEREN;1226432
STL WERK B.V.;GOUDA;1226412
PLEASE DNA B.V.;HELMOND;1225540
JOHNSON MATTHEY ADVANCED GLASS      TECHNOLOGIES B.V.;MAASTRICHT;1218380
KOPPERT CRESS B.V.;MONSTER;1216728
GASSAN DIAMONDS B.V.;AMSTERDAM;1214908
SHILOH INDUSTRIES NETHERLANDS B.V.;OSS;1206248
HELLOFLEX PEOPLE 201 B.V.;AMERSFOORT;1205968
MARKIES CATERING ADVIES B.V.;'S-HERTOGENBOSCH;1203660
BUVO CASTINGS B.V.;HELMOND;1202372
RIKSJAONLINE B.V.;LEIDEN;1195528
DUIKER COMBUSTION ENGINEERS B.V.;WATERINGEN;1194140
ROTTERDAM AIRPORT B.V.;ROTTERDAM;1193228
