BEDRIJFSNAAM;VESTIGINGSPLAATS;"UITBETAALD VOORSCHOT";"VASTGESTELDE SUBSIDIE"
10XL B.V.;HARDINXVELD-GIESSENDAM;5,244;0
112AUTOMOTIVE B.V.;ZEIST;39,616;0
112SCHADE B.V.;ZEIST;8,872;0
123 FLOORRENT B.V.;BLADEL;16,864;12,761
123ARCHIEF B.V.;GRONINGEN;15,132;-
123ONTSTOPPER B.V.;HOOGEZAND;10,788;0
123TELCOM B.V.;ENSCHEDE;40,648;0
12B SURE B.V.;S-HERTOGENBOSCH;24,256;0
12MPROVE ACADEMY B.V.;ANKEVEEN;27,316;12,897
12MPROVE B.V.;ANKEVEEN;70,212;32,292
12RETURN B.V.;GORINCHEM;14,528;21,439
1714 DRINKS & BITES VOF;SCHIEDAM;6,424;0
1BLUE OCEAN B.V.;ARNHEM;7,260;0
1ERANG PRODUCTIES B.V.;AMSTERDAM;10,944;-
1MINUUT B.V.;NIJMEGEN;65,200;-
1MOBILITY GROUP B.V.;ENSCHEDE;8,736;7,097
1NERGIEK B.V.;LIJNDEN;602,136;873,947
1TRANSVIR B.V.;ALMERE;15,436;-
1ZERO B.V.;UTRECHT;55,228;55,216
2 ACHIEVE B.V.;NIEUW-VENNEP;11,480;0
2 DE HANDS WINKELINVENTARIS B.V.;NIJMEGEN;10,820;0
2 GETTHERE B.V.;UTRECHT;340,112;-
2 GETTHERE HOLDING B.V.;UTRECHT;24,768;-
2 MET B.V.;BARENDRECHT;19,928;23,912
2 PLUS EXHIBITIONS AND INTERIORS B.V.;ROSMALEN;70,624;58,419
2 REPAIR-IT B.V.;RIJSWIJK ZH;39,768;0
2 T & E B.V.;HALSTEREN;21,836;30,023
2 X T GROEP B.V.;ST. WILLEBRORD;4,924;0
2.0 BEVEILIGING B.V.;AERDENHOUT;10,680;0
200 GRADEN CATERING B.V.;OSS;9,400;9,833
2050 FACTORY B.V.;AMSTERDAM;19,436;0
21 MARKETS B.V.;AMSTERDAM;89,304;0
210% B.V.;AMERONGEN;6,764;0
22-24 CLUB & EVENT B.V.;DOETINCHEM;26,200;30,483
227 DATASCIENCE B.V.;UTRECHT;57,776;38,886
227 LEARNING B.V.;UTRECHT;24,496;34,438
227 SEARCH B.V.;UTRECHT;4,836;7,136
227SCIENCE B.V.;UTRECHT;12,260;0
24 INDOOR SUPPORT B.V.;ALKMAAR;21,854;49,173
24 JUMP DIEMEN B.V.;DIEMEN;1,590;2,511
24 JUMP HEERLEN B.V.;HEERLEN;2,542;5,698
24 JUMP WARMOND B.V.;WARMOND;1,356;0
24 PLAY AMSTERDAM B.V.;AMSTERDAM;2,050;4,272
24 PLAY BLEISWIJK B.V.;BLEISWIJK;4,406;2,977
24 PLAY BREDA B.V.;BREDA;13,222;13,880
24 PLAY BUNGELLAND B.V.;ROTTERDAM;22,944;23,509
24 PLAY DIEMEN B.V.;DIEMEN;2,782;779
24 PLAY GOUDA B.V.;GOUDA;2,328;5,237
24 PLAY HEERLEN B.V.;HEERLEN;3,136;2,087
24 PLAY RIJSWIJK B.V.;RIJSWIJK ZH;13,708;0
24 PLAY SPIJKENISSE B.V.;SPIJKENISSE;4,840;9,137
24 PLAY WARMOND B.V.;WARMOND;8,160;18,360
24/7 DRIVE B.V.;SON EN BREUGEL;1,145,868;0
24/7 DRIVE B.V.;SON EN BREUGEL;924,696;0
24/7 DRIVE B.V.;SON EN BREUGEL;199,728;0
24/7 FITNESSCENTRUM RON HAANS STADSKANAAL B.V.;STADSKANAAL;3,504;0
24/7 FITNESSCENTRUM RON HAANS VEENDAM B.V.;VEENDAM;5,588;0
24/7 FITNESSCENTRUM RON HAANS ASSEN B.V.;ASSEN;3,116;0
24/7 FITNESSCENTRUM RON HAANS BEDUM B.V.;WINSCHOTEN;3,016;0
24/7 FITNESSCENTRUM RON HAANS GRONINGEN PEIZERWEG B.V.;GRONINGEN;3,124;0
24/7 FITNESSCENTRUM RON HAANS WINSCHOTEN B.V.;WINSCHOTEN;9,504;0
247 DYNAMICS B.V.;OISTERWIJK;10,168;8,602
24-7 KOFFIE SERVICE B.V.;NIEUWEGEIN;11,812;11,712
24AM B.V.;AMSTERDAM;23,676;14,895
24H MULTIDIENSTEN SERVICE B.V.;ALMERE;8,464;0
24K BAR B.V.;AMSTERDAM;1,032;904
-273 B.V.;AMSTERDAM;13,396;24,477
29 SPICES B.V.;AMSTERDAM;15,752;11,061
2B CONVEYOR SYSTEMS B.V.;ROELOFARENDSVEEN;80,104;0
2B4QA B.V.;RHENEN;27,228;17,176
2B-BUILD B.V.;BOXTEL;90,704;89,470
2BMADE B.V.;LEEUWARDEN;9,848;8,617
2C & MORE B.V.;HILVARENBEEK;35,036;0
2C & MORE WEST B.V.;HILVARENBEEK;8,912;10,315
2-CONTROL B.V.;BREDA;38,276;0
2DA B.V.;NIJMEGEN;19,904;0
2DAY@WORK B.V.;GIESSEN;13,636;0
2DAY@WORK B.V.;GIESSEN;27,828;0
2-DUTCH AGENCY B.V.;EINDHOVEN;30,300;19,117
2G PLUS B.V.;UDDEL;18,364;25,253
2GETHER FASHION B.V.;ROTTERDAM;13,212;0
2GUARD B.V.;OISTERWIJK;7,072;0
2JOIN B.V.;GRONINGEN;58,520;45,611
2KERR B.V.;HEDEL;15,520;8,924
2KNOWHOW, ART OF LEARNING B.V.;LEIDEN;42,120;-
2M GROUP DIVERS PERSONEELSDIENSTEN B.V.;NORG;40,592;86,956
2NEXTLEVEL B.V.;EMMELOORD;4,160;0
2-NICE B.V.;HILVERSUM;51,736;57,723
2-RESCUE B.V.;EINDHOVEN;69,080;49,306
2-SAT EUROPE B.V.;SOESTERBERG;41,008;0
2SERVEYOU DIENSTVERLENING;LANDSMEER;8,580;17,879
2THELOO B2B B.V.;AMSTERDAM;24,636;-
2THELOO HOLDING B.V.;AMSTERDAM;87,316;-
2TRUST B.V.;S-GRAVENHAGE;12,500;-
2TWINTIG PUBLIC RELATIONS B.V.;ROTTERDAM;64,068;44,835
2UITZENDBUREAU B.V.;VEENDAM;1,480;1,782
2UITZENDBUREAU B.V.;VEENDAM;39,184;37,508
2UNBOSS.TODAY B.V.;ZEEWOLDE;27,688;0
2WARE B.V.;AMSTERDAM;29,720;0
2XCEED B.V.;SOEST;16,084;16,873
2XPLAIN V.O.F.;DEVENTER;8,400;0
2XPO B.V.;S-HERTOGENBOSCH;59,160;67,277
2XPR B.V.;UTRECHT;79,684;71,867
3 DTEC B.V.;BERGEIJK;37,536;32,602
3 GEZUSTERS NIJMEGEN B.V.;NIJMEGEN;79,488;-
3&3 B.V.;UITGEEST;52,088;0
3007SOFT ENTERPRISE B.V.;UTRECHT;9,032;-
30MHZ B.V.;AMSTERDAM;189,600;252,799
31DEVELOPMENT B.V.;AMSTERDAM;8,240;10,191
333 TRAVEL B.V.;ALPHEN AAN DEN RIJN;287,392;328,212
