BEDRIJFSNAAM;VESTIGINGSPLAATS;"UITBETAALD VOORSCHOT";"VASTGESTELDE SUBSIDIE"
DUTCH CUPS B.V.;LELYSTAD;88,784;96,961
DUTCH DARE INTERNATIONAL B.V.;ROTTERDAM;10,784;0
DUTCH DESIGN BELTS B.V.;OISTERWIJK;3,636;3,410
DUTCH DESIGN PRODUCTIONS B.V.;S-HERTOGENBOSCH;7,608;10,188
DUTCH DREAM B.V.;AMSTERDAM;16,352;0
DUTCH DRILLING CONSULTANTS B.V.;WADDINXVEEN;114,152;76,824
DUTCH DRIVER SOLUTIONS B.V.;RIJSWIJK ZH;16,716;23,286
DUTCH DRYCLEANERS B.V.;AMSTERDAM;15,396;10,265
DUTCH EUREKA B.V.;LEKKUM;17,584;11,557
DUTCH EXPO 360 B.V.;BREUKELEN UT;11,612;14,354
DUTCH FALCON YACHTS B.V.;WAALWIJK;84,928;0
DUTCH FIRST B.V.;UTRECHT;25,652;17,656
DUTCH FLEX GROUP B.V.;ZEVENAAR;666,016;227,120
DUTCH FOOD CONCEPTS B.V.;NOORDWIJKERHOUT;56,600;45,988
DUTCH FOOD TECHNOLOGY B.V.;ROERMOND;17,216;0
DUTCH FREIGHT COMPANY B.V.;NIEUW-VENNEP;24,736;0
DUTCH FREIGHT SERVICES B.V.;HOOGVLIET ROTTERDAM;32,280;31,642
DUTCH FURNITURE GROUP B.V.;NIJMEGEN;70,048;57,879
DUTCH GEEKS B.V.;ZOETERMEER;5,688;6,402
DUTCH HAVEN B.V.;AMSTERDAM;17,660;27,594
DUTCH HEALTH B.V.;NEDERHORST DEN BERG;13,648;0
DUTCH HOUSING CENTRE B.V.;AMSTERDAM;26,376;-
DUTCH INDUSTRIAL MANUFACTURING N.V.;ROERMOND;125,824;0
DUTCH INDUSTRIAL SAFETY CONSULTANTS B.V.;DORDRECHT;192,616;166,738
DUTCH INNOVATED INVESTMENTS B.V.;ALMERE;4,092;0
DUTCH INNOVATION IN AIR TREATMENT B.V.;NIEUWLEUSEN;63,320;0
DUTCH INSTITUTE FOR HEALTH AND PERFORMANCE B.V.;BREDA;23,324;19,439
DUTCH INTERNATIONAL HORSES B.V.;HOUTEN;1,948;2,845
DUTCH INVERTUALS B.V.;EINDHOVEN;11,560;0
DUTCH JEWELZ B.V.;WEERT;1,880;3,757
DUTCH K9 CENTRE B.V.;VOORTHUIZEN;2,000;-
DUTCH LEISURE GROUP B.V.;ROTTERDAM;392,756;481,872
DUTCH MARINE B.V.;HULST;6,444;8,173
DUTCH MARINE TECHNOLOGY B.V.;ALBLASSERDAM;26,872;-
DUTCH MARITIME SERVICES V.O.F.;ROTTERDAM;2,868;0
DUTCH MEDICAL COLLEGE B.V.;LIJNDEN;33,696;0
DUTCH MEDICAL HOLDING B.V.;LEEK;20,768;0
DUTCH MEMORIES B.V.;AMSTERDAM;14,408;8,858
DUTCH METAL RECYCLING B.V.;SWALMEN;11,216;0
DUTCH MOBILITY COMPANY (DMC) B.V.;IJSSELSTEIN UT;10,384;0
DUTCH MOUNTAIN FILM B.V.;AMSTERDAM;3,696;3,109
DUTCH OFFSHORE GROUP B.V.;NEDERHORST DEN BERG;31,304;-
DUTCH OPEN PROJECTS B.V.;AMERSFOORT;56,564;15,986
DUTCH PANCAKE MASTERS B.V.;AMSTERDAM;106,092;58,627
DUTCH PARKING CREW B.V.;ROELOFARENDSVEEN;37,076;43,094
DUTCH PERFORMANCE FACILITIES B.V.;MAASTRICHT;85,660;58,688
DUTCH PLANTIN B.V.;BOEKEL;23,664;0
DUTCH POLYMER HANDLING B.V.;TILBURG;11,128;0
DUTCH PORTFOLIO V.O.F.;UTRECHT;8,408;9,500
DUTCH QUINOA GROUP B.V.;WAGENINGEN;28,656;0
DUTCH REFURBISH CENTRE B.V.;GELDERMALSEN;24,592;0
DUTCH RENTAL SERVICE B.V.;BLOKKER;2,571;7,715
DUTCH RENTING B.V.;AMSTERDAM;12,480;-
DUTCH SALES TEAM B.V.;S-GRAVENHAGE;26,756;-
DUTCH SCREENING GROUP B.V.;MAASTRICHT;26,024;0
DUTCH SCUBA DIVERS B.V.;WOERDEN;10,516;3,652
DUTCH SHIPYARD B.V.;ZWAAGDIJK-OOST;36,168;0
DUTCH SHOPFITTERS B.V.;DOETINCHEM;16,388;0
DUTCH SINO BUSINESS PROMOTIONS B.V.;ROTTERDAM;12,124;23,037
DUTCH SOLAR TECH B.V.;RIDDERKERK;14,624;0
DUTCH SPARE PARTS WIJCHEN B.V.;WIJCHEN;8,148;8,913
DUTCH SPORTS GROUP B.V.;LISSE;4,312;0
DUTCH TACKLE COMPANY B.V.;GORREDIJK;46,660;0
DUTCH TALENT PROFESSIONALS B.V.;AMSTERDAM;8,884;9,677
DUTCH TELEVISION SERVICES B.V.;ROTTERDAM;23,868;-
DUTCH THEATRE SYSTEMS & SERVICES B.V.;GRONINGEN;94,668;-
DUTCH THERMOPLASTIC COMPONENTS B.V.;ALMERE;572,816;660,201
DUTCH VALLEY VEGETABLES B.V.;SLOOTDORP;53,016;0
DUTCH VALVE SERVICE B.V.;HEIJNINGEN;93,668;0
DUTCH WASTE B.V.;DORDRECHT;56,068;-
DUTCH WASTE COLLECTORS & CLEANING B.V.;DORDRECHT;114,944;-
DUTCH WHEELS B.V.;WEERT;129,188;242,229
DUTCH&DUTCH B.V.;CAPELLE AAN DEN IJSSEL;68,788;-
DUTCHBAND B.V.;AMSTERDAM;232,436;0
DUTCHBANGLA B.V.;UITHOORN;80,932;77,310
DUTCHCREEN B.V.;ROOSENDAAL;23,564;-
DUTCHGIRAFFE | DIGITAL CREATIVES B.V;S-GRAVENHAGE;37,440;0
DUTCHIES HOSTEL B.V.;AMSTERDAM;43,500;46,893
DUTCHITAL MEDIA B.V.;EINDHOVEN;209,432;-
DUTCHLAC B.V.;LEEUWARDEN;11,036;11,218
DUTCHLITE B.V.;BAEXEM;4,740;5,401
DUTCHSEC RED STAFFING B.V.;UTRECHT;22,676;-
DUTCH-SHAPE B.V.;BORNE;125,988;107,360
DUTCH-SHAPE DEVELOPMENT B.V.;BORNE;150,080;121,867
DUTCH-SHAPE ENGINEERING B.V.;BORNE;273,028;238,791
DUTCHSKINS INTERNATIONAL B.V.;ZUTPHEN;3,316;0
DUTCHSTAR B.V.;AMSTERDAM;85,912;92,746
DUTCHWEBSHARK B.V.;AMSTERDAM;145,392;-
DUTEQ RAILINFRA B.V.;UTRECHT;70,672;80,198
DUTHLER ASSOCIATES B.V.;S-GRAVENHAGE;51,132;0
DUTHLER PROFESSIONALS B.V.;S-GRAVENHAGE;18,184;0
DUTOIT EUROPE B.V.;ROTTERDAM;53,880;65,582
DUTRA FONTENELE;BEST;10,145;0
DUTRABOND TRADING B.V.;OSS;10,616;9,317
DUTSCH WORKWEAR B.V.;TILBURG;2,656;3,527
DUURSMA V.O.F. T.H.O.D.N. BAGELS & BEANS ENSCHEDE;ENSCHEDE;10,320;14,020
DUURZAAM GEBOUWD B.V.;ZWOLLE;57,568;79,816
DUUW SCALE UP PEOPLE B.V.;AMSTERDAM;37,376;32,805
DUUW SCALE UP PEOPLE B.V.;AMSTERDAM;22,764;34,559
DUWI DESIGN B.V.;SLUISKIL;16,680;28,994
DUX INTERNATIONAL V.O.F.;CHAAM;7,968;0
DUYF B.V.;HUISSEN;13,664;0
DUYNDAM AUTOSCHADE B.V.;AMSTERDAM;18,028;18,029
DUYVESTIJN;WATERINGEN;5,380;3,544
DV BUS & COACH BVBA;LIER;24,036;11,044
DVD INDUSTRY B.V.;ROTTERDAM;10,916;9,551
DVH LOGISTICS B.V.;BREDA;4,664;0
DVK PUBLIEK PRIVATE HORECA B.V.;HAREN GN;29,288;-
DVL BRABANT B.V.;UDEN;109,188;0
DVL SITTARD B.V.;UDEN;11,172;-
DVO BETONBORINGEN B.V.;TIEL;5,684;0
DVO REPARATIE & PARTS B.V.;ROZENBURG ZH;32,092;0
DVP B.V.;S-GRAVENHAGE;263,636;0
DVS B.V.;LEIDERDORP;210,868;-
DVS'33 ERMELO;ERMELO;12,020;12,567
DVTD MGMT B.V.;DE MEERN;7,452;6,987
DW GEREEDSCHAPPEN & MACHINES B.V.;OLDENZAAL;24,168;0
DW MAKELAARDIJ B.V.;WIJHE;3,424;0
DWAALLICHT B.V.;BROEK OP LANGEDIJK;29,572;31,235
DWARKASING;SCHIEDAM;4,532;0
DWAZE DAGEN B.V.;AMSTERDAM;5,748;534
DWC ACADEMIE B.V.;AMSTERDAM;65,568;0
DWCPRINT B.V.;STADSKANAAL;21,048;0
DWELLWORKS NETHERLANDS II B.V.;AMSTELVEEN;58,444;36,008
DWF PUBLISHING B.V.;ENSCHEDE;22,084;36,809
DWG PROCESS & SAFETY B.V.;SCHIEDAM;279,516;-
DWH B.V.;HAARLEM;31,700;37,812
DWI B.V.;DINXPERLO;25,780;18,894
DWI EVENTS B.V.;NIEUWEGEIN;33,180;44,240
DWMR B.V.;BREDA;116,048;-
DWORKZ BEHEER B.V.;ZEIST;2,716;0
DWP B.V.;SITTARD;5,724;-
DX B.V.;ARNHEM;15,396;12,879
DY B.V.;NEER;73,164;28,820
DYADE ACADEMY B.V.;UTRECHT;2,024;-
DYADE HOLDING B.V.;UTRECHT;23,844;-
DYADE LUBRICANTS B.V.;DUIVEN;4,656;0
DYADE ONDERWIJSBEDRIJFSVOERING B.V.;UTRECHT;311,628;0
DYADE ONDERWIJSMARKETING B.V.;UTRECHT;8,264;-
DYADE VOORDEELSERVICE B.V.;UTRECHT;1,984;0
DYDL GENERAL PARTNER B.V.;AMSTERDAM;742,948;-
DYGICA VENTURES B.V.;CAPELLE AAN DEN IJSSEL;2,476;1,769
DYHOC SERVICES B.V.;ZALTBOMMEL;61,276;-
DYL JAPAN B.V.;UTRECHT;1,600;0
DYLAN BEHEER B.V.;DORDRECHT;45,708;0
DYLAN STAAL NETHERLANDS B.V.;DORDRECHT;343,092;0
DYMAK HOLLAND B.V.;AALSMEER;28,484;49,535
DYMATO B.V.;VEENENDAAL;42,328;28,062
DYMO ENGINEERING BERLICUM B.V.;BERLICUM NB;30,620;0
DYNA DENTAL ENGINEERING B.V.;HALSTEREN;32,852;0
DYNABRADE EUROPE SARL;WORMELDANGE-HAUT;9,000;0
DYNAMIC ACTIVITIES B.V.;ROTTERDAM;53,064;23,937
DYNAMIC AVIATION B.V.;LELYSTAD;6,384;7,228
DYNAMIC CARGO SURVEY B.V.;NUMANSDORP;20,536;-
DYNAMIC CASTING B.V.;HEERHUGOWAARD;2,640;4,180
DYNAMIC HOLLAND B.V.;HARLINGEN;5,572;-
DYNAMIC MARINE SYSTEMS B.V.;KERKDRIEL;29,276;0
DYNAMIC MEDICAL & VETERINARY PRODUCTS B.V.;ALMELO;6,552;5,148
DYNAMICHANDS B.V.;HALFWEG;36,520;22,660
DYNAMIT B.V.;MONTFOORT;6,252;2,867
DYNAMIX EMEA B.V.;AMSTERDAM;11,904;13,608
DYNAMO WORKFORCE B.V.;AMSTERDAM;13,828;0
DYNAMO WORKFORCE B.V.;AMSTERDAM;45,304;0
DYNAPLAK ADHESIVE AND STARCHES B.V.;VEENDAM;43,060;0
DYNATEX B.V.;OISTERWIJK;2,636;0
DYNED EUROPE B.V.;AMSTERDAM;19,124;22,030
DYNOBEND B.V.;HAAKSBERGEN;400,180;224,174
DYNTEQ B.V.;ENSCHEDE;52,216;-
DYSEL B.V.;HENGELO OV;283,360;172,672
DYSLEXIECENTRUM TWENTE B.V.;HENGELO OV;22,834;0
DYSLEXIECENTRUM TWENTE B.V.;HENGELO OV;22,834;0
DYSY EXPLOITATIE B.V.;ALKMAAR;8,148;9,229
DYTTER B.V.;UTRECHT;42,724;39,761
DYVINCI B.V.;S-HERTOGENBOSCH;3,120;5,072
DZM B.V.;BRUINISSE;84,148;0
E & K ELECTRONICS B.V.;YERSEKE;45,944;24,383
E & N KOERIERS B.V.;AMERSFOORT;34,692;-
E & P VERKOOPKANTOOR B.V.;ZOETERMEER;2,056;983
E & R STESSEN SERVICEDIENST B.V.;HEERLEN;6,924;1,660
E ACHU;ROTTERDAM;23,256;-
E BRUNING;ALMERE;280;527
E CEREN;ISTANBUL;2,580;-
E de GROOT;NIEUWEGEIN;28,064;20,194
E de HEIJ;ALMERE;884;0
E DENTAL B.V.;ALBLASSERDAM;59,900;0
E ELDAWOUDY;AMSTERDAM;4,332;7,945
E GROENEWEG;MEERSTAD;3,888;2,490
E ISMAIL;HILVERSUM;8,492;0
E JERJIS;NIJMEGEN;3,356;0
E KARAJIC;BOCHOLT;36,148;0
E KG HOLDING B.V.;GELDERMALSEN;20,992;0
E LEBBING;UTRECHT;11,616;14,276
E PAS;WELSUM;26,412;25,368
E PEHLIVAN;DEVENTER;13,692;5,024
E R TEUNISSEN HOLDING B.V.;AMSTERDAM;5,468;6,989
E TSANTIRAKIS;ASSEN;7,244;0
E UYAR;ARNHEM;13,328;0
E V TILBURG BV;TILBURG;48,284;0
E V TILBURG BV;TILBURG;60,536;0
E V TILBURG BV;TILBURG;7,712,108;0
E V TILBURG BV;TILBURG;110,548;0
E van den BERGEN;EEMNES;1,672;1,109
E van WEIJEN;RIDDERKERK;3,292;983
E VIEIRA;AMSTERDAM;14,436;9,937
E WIJNINGA;DEN HOORN ZH;2,028;0
E YOSSOV;HOOGEZAND;2,944;0
E&B KAPPERS V.O.F.;TILBURG;29,156;0
E&C KATOELE V.O.F.;MAASBREE;12,584;19,527
E&C KOERIERS B.V.;ENSCHEDE;21,788;-
E&D SOUVENIRS B.V.;AMSTERDAM;11,828;7,927
E&F B.V.;MEPPEL;5,624;0
E&S INFRA B.V.;EINDHOVEN;37,668;0
E&S INFRA B.V.;EINDHOVEN;14,820;0
E. BUITENHUIS EIERHANDEL B.V.;NIJKERK GLD;21,160;0
E. KRAAK HOLDING B.V.;ZWAANSHOEK;8,568;7,234
E. LIRINA BEHEER B.V.;AMSTERDAM;15,180;10,074
E. VAN DIEMEN SLOOP B.V.;LEIDEN;51,416;-
E. WOLTERS TIMMERWERKEN B.V.;RIJSSEN;9,608;0
E.A.E.S. SUPPORT B.V.;EINDHOVEN;32,256;34,846
E.A.F.T. NELEMANS MODE B.V.;ULVENHOUT;6,004;0
E.A.M. SPORTHORSES B.V.;WEERT;2,492;9,661
E.A.T. INTERNATIONAL B.V.;LEIDSCHENDAM;9,152;9,381
E.B.O. VAN WEEL B.V.;RHOON;74,348;166,213
E.C.C. COUTURE B.V.;OLDENZAAL;38,268;-
E.C.G. MONTAGE B.V.;NUNSPEET;63,392;38,132
E.C.S.-VAN VUGHT B.V.;BRUMMEN;39,816;0
E.D.C. SAFETY PRODUCTS B.V.;ROTTERDAM;6,456;0
E.G. ENGINEERING B.V.;RAALTE;16,204;26,333
E.I.M. TECHNICS B.V.;RODEN;28,420;46,186
E.J. VAN DER KLIJ B.V.;HILVERSUM;14,408;-
E.KROON WILNIS B.V.;WILNIS;44,820;47,662
E.L. CRAVATTE B.V.;NOORDWIJK ZH;4,480;0
E.L. TRAVEL B.V.;MEPPEL;4,160;4,158
E.L.F. TRANSPORT B.V.;NIEUW-VOSSEMEER;12,572;7,863
E.L.N. KUNSTSTOFTECHNIEK MONTAGE B.V.;ENSCHEDE;18,472;23,609
E.M. VAN HOLTEN HOLDING B.V.;HEEMSTEDE;7,936;5,952
E.M.A. PLUS B.V.;GROENLO;7,108;0
E.M.L. B.V.;GREVENBICHT;9,836;18,687
E.M.R.I. SERVICES B.V.;EDE GLD;97,164;-
E.M.S. AFBOUW DIDAM B.V.;DIDAM;40,284;52,803
E.P. VLAANDEREN MAKELAARDIJ B.V.;MUIDERBERG;13,256;14,082
E.P.A.C. B.V.;WEERT;81,180;-
E.S.B.-CATERING & VERHUUR V.O.F.;BOLSWARD;1,680;1,474
E.S.M. VISION B.V.;SCHINNEN;16,788;12,913
E.S.T.I.D.A. FABRICAGE B.V.;AMSTERDAM;39,792;-
E.S.T.I.D.A. ONTWERP B.V.;AMSTERDAM;123,732;-
E.T. ELECTRIC B.V.;GAMEREN;16,928;19,044
E.T.C. ERRO TOOLS COMPANY B.V.;OIRSCHOT;8,864;0
E.T.W. HOLLAND B.V.;BREDA;26,180;-
E.V. EN A.C. DE TUBANTERS 1897 DE TUBANTERS;ENSCHEDE;7,496;0
E.V.M. B.V.;EINDHOVEN;15,340;0
E.W.J. SMIT VOF;ROTTERDAM;8,432;13,242
E2 INTERNATIONAL B.V.;KLAZIENAVEEN;3,176;2,980
E2 OFFICE B.V.;ALMERE;1,972;987
E2M PRODUCTION B.V.;MIJDRECHT;176,736;148,826
E2M TECHNOLOGIES B.V.;AMSTERDAM;661,604;437,361
E2MA GMBH;HAMBURG;5,600;6,418
E4PRO B.V.;ROTTERDAM;20,832;27,993
E79 B.V.;AMSTERDAM;7,360;6,326
EA VAN GOETHEM;SCHILDE;8,316;0
EAE SOLUTIONS B.V.;OOSTERHOUT NB;28,808;-
EAFA POPPELIER;ZWIJNDRECHT;4,848;0
EAGE HOLDING B.V.;BUNNIK;117,364;128,815
EAGE SUPPORT B.V.;BUNNIK;479,136;485,321
EAGER PEOPLE B.V.;UTRECHT;109,844;-
EAGERLY INTERNET B.V.;UTRECHT;23,768;0
EAGLE DIENSTEN B.V.;RHOON;151,424;-
EAGLE DIENSTVERLENING IN SERVICES EN VEILIGHEID B.V.;NUTH;39,936;0
EAGLE ENERGY B.V.;ALBLASSERDAM;7,300;8,083
EAGLE SECURITY B.V.;NUTH;38,452;0
EAGLESCIENCE INNOVATIONS B.V.;AMSTERDAM;35,644;-
EAGLESCIENCE SOFTWARE B.V.;AMSTERDAM;27,920;-
EAGLESCIENCE SOLUTIONS B.V.;AMSTERDAM;41,160;-
EAGLESENSING B.V.;EDE GLD;84,784;-
EAGLETAINER LOGISTICS EUROPE B.V.;NUMANSDORP;19,564;32,028
EARFORCE B.V.;AMSTERDAM;19,420;18,518
EARMO B.V.;ZWOLLE;52,392;14,148
EARS4U B.V.;DIEREN;19,664;11,554
EARTH CONCEPTS B.V.;AMSTELVEEN;29,108;18,203
EAS EUROPE B.V.;RENSWOUDE;90,164;-
EAST & WEST CATERING B.V.;ZOETERMEER;30,052;0
EAST COAST B.V.;MAASDIJK;41,880;45,726
EAST HARBOUR B.V.;AMSTERDAM;85,012;59,087
EAST INNOMOTIVE B.V.;DUIVEN;21,968;-
EAST SIDE PRODUCTIONS B.V.;HAARLEM;13,208;-
EASTAR THE NETHERLANDS B.V.;HUISSEN;17,084;21,704
EASTERN - ASIA TRADING B.V.;ANKEVEEN;9,772;4,904
EASTERN PLAZA B.V.;ELST UT;94,092;77,626
EASTERN PLAZA BENTELO B.V.;BENTELO;95,136;83,243
EASTLINE HRM PERSONEELSDIENSTEN B.V.;GOOR;20,444;24,276
EAST-WOOD B.V.;AALTEN;63,172;58,432
EASY ACTIVE STUDIO HUISSEN B.V.;HUISSEN;3,120;1,950
EASY ACTORS B.V.;AMSTERDAM;95,048;109,863
EASY AMERSFOORT B.V.;HOOGLAND;13,780;0
EASY CONSULTANCY B.V.;OEGSTGEEST;25,112;0
EASY DATA B.V.;APELDOORN;6,228;7,658
EASY DRIVING B.V.;ZEVENHUIZEN GN;3,952;0
EASY DURA B.V.;VENLO;7,484;8,913
EASY FRESH FALAFEL B.V.;AMSTERDAM;40,044;-
EASY GAS B.V.;VIERPOLDERS;3,088;0
EASY GIFTS BENELUX B.V.;RHENEN;2,728;0
EASY GO ELECTRIC B.V.;ZWANENBURG;13,632;20,734
EASY HOOGLAND B.V.;HOOGLAND;22,476;0
EASY LIVING B.V.;AMSTERDAM;5,644;0
EASY NUTS B.V.;CAPELLE AAN DEN IJSSEL;18,872;0
EASY ORANGE B.V.;WADDINXVEEN;7,264;6,721
EASY PAYMENT SERVICES B.V.;AMSTELVEEN;15,012;42,572
EASY PET B.V.;LANDGRAAF;416;390
EASY PRO LIGHTING B.V.;ALKMAAR;14,164;-
EASY RIDER AMSTERDAM B.V.;WEESP;18,036;22,547
EASY ROAD TRANSPORT B.V.;BARENDRECHT;10,916;12,007
EASY SERVICES B.V.;LELYSTAD;70,824;-
EASY SYSTEMS BENELUX B.V.;EINDHOVEN;2,920;0
EASY2.BUY B.V.;HEERHUGOWAARD;11,808;0
EASY2RENT B.V.;VEENENDAAL;166,128;-
EASY2SEND.NL B.V.;S-GRAVENHAGE;29,988;1,992
EASY4SUPPORT B.V.;SASSENHEIM;10,196;0
EASYACTIVE DEN BOSCH B.V.;S-HERTOGENBOSCH;8,716;0
EASYACTIVE MEPPEL B.V.;MEPPEL;7,928;3,554
EASYACTIVE WAGENINGEN B.V.;WAGENINGEN;7,700;6,302
EASYBOOKINGS B.V.;EELDE;18,092;21,576
EASYCARE PROFESSIONALS B.V.;BAARN;13,104;16,382
EASYFAIRS NEDERLAND B.V.;HARDENBERG;1,587,948;2,176,689
EASYFAIRS OPERATIONS NEDERLAND B.V.;GORINCHEM;457,540;589,673
EASYFIT PREMIUM HILLEGOM B.V.;HILLEGOM;12,572;0
EASYFLOAT B.V.;ROOSENDAAL;5,455;5,910
EASYJET AIRLINE CO LTD;BEDFORDSHIRE;3,581,752;3,684,164
EASYJOB CLEANING B.V.;SPIJKENISSE;9,384;16,186
EASYJOB UITZENDBUREAU B.V.;SPIJKENISSE;11,384;0
EASYJOB UITZENDBUREAU B.V.;SPIJKENISSE;21,772;0
EASYJOB UITZENDBUREAU B.V.;SPIJKENISSE;10,576;0
EASYJOB UITZENDBUREAU B.V.;SPIJKENISSE;7,572;0
EASYMAKELAARS B.V.;LEIDEN;11,928;0
EASY-PLAN CONTRACTCATERING B.V.;DOESBURG;113,320;-
EASYS HORECA B.V.;ALMELO;30,184;0
EASYSCAN B.V.;S-GRAVENHAGE;14,504;6,580
EASYSEE B.V.;HENGELO OV;3,476;5,541
EASYSTAFF PAYROLL SELECT FLEX B.V.;DEVENTER;23,544;0
EASYWORK LUNTEREN B.V.;LUNTEREN;4,272;5,340
EASYWORX FLEX B.V.;DEVENTER;604,828;790,401
EASYWORX FLEX B.V.;DEVENTER;47,348;49,688
EASYWORX STAFFING B.V.;DEVENTER;359,772;470,159
EASYWORX STAFFING B.V.;DEVENTER;294,956;385,456
EAT FRESH DEN BOSCH B.V.;S-HERTOGENBOSCH;14,184;0
EAT FRESH TIEL B.V.;TIEL;2,272;0
EAT PALAZZO ROTTERDAM B.V.;SCHIEDAM;105,052;56,219
EAT020 B.V.;AMSTERDAM;71,364;-
EATALIANI B.V.;HOORN NH;3,576;0
EATALY V.O.F.;AMSTELVEEN;5,448;0
EATMOSFERA B.V.;AMSTERDAM;41,808;-
EAZIE LEIDEN 2 B.V.;LEIDEN;24,756;0
EAZY HAIR HOLLAND B.V.;ROTTERDAM;1,659,992;-
EAZY ROTTERDAM ZUIDPLEIN V.O.F.;ROTTERDAM;5,788;3,618
EAZZ B.V.;BOVEN-LEEUWEN;31,400;32,115
EAZZYPARK B.V.;EINDHOVEN;78,552;79,287
EB LANGEREIS;HOORN NH;6,520;5,811
EB STAFF & SERVICES B.V.;ALMERE;199,420;0
E-BAKKIE B.V.;SPAARNDAM;7,520;7,777
E'BARRAGE B.V.;EDAM;14,884;6,823
EBBELER;OUD-BEIJERLAND;6,652;5,356
EBBEN;SINT AGATHA;8,624;9,342
EBBEN INSPYRIUM B.V.;CUIJK;19,640;0
EBBEN PARTNERS B.V.;HILVERSUM;8,640;10,733
EBBEN TUINAANLEG B.V.;MALDEN;51,096;0
EBBENHOUT B.V.;CUIJK;7,776;0
EBBENS ARCHITECTUUR & TECHNIEK B.V.;LEUSDEN;16,956;39,360
EBC TALENINSTITUUT B.V.;BERGEN OP ZOOM;49,920;-
EBERHARD;ENSCHEDE;10,980;0
EBERHARD;ENSCHEDE;3,736;0
EBERHARDT AZIATISCHE KUNST B.V.;AMSTERDAM;192,800;-
EBERT HERA NEDERLAND B.V.;RIDDERKERK;231,392;270,580
EBG VERHUUR B.V.;BIDDINGHUIZEN;78,468;71,741
EBRAHIMI KLUSSENBEDRIJF B.V.;HAZERSWOUDE-RIJNDIJK;9,936;6,297
EBRU B.V.;OSS;12,108;0
EB-SPORTS CURVES OSS-WEST C.V.;OSS;2,148;671
EBUCON B.V.;ARNHEM;6,048;0
EBUDDY B.V;AMSTERDAM;5,348;6,290
E-BUSINESS TRAVEL B.V.;OUD-BEIJERLAND;198,828;204,245
E-BUSINESS V.O.F.;AMSTERDAM;5,442;-
ECAR B.V.;ALPHEN AAN DEN RIJN;36,392;47,514
ECC CORPORATE B.V.;ROOSENDAAL;23,376;12,977
ECCO LEATHER B.V.;DONGEN;83,064;49,588
ECCO LEATHER B.V.;DONGEN;23,076;20,191
ECCO TANNERY (HOLLAND) B.V.;DONGEN;1,144,312;936,144
ECD B.V.;S-HERTOGENBOSCH;14,368;17,962
ECE BRAND- EN INBRAAKBEVEILIGING B.V.;NIEUWEGEIN;16,928;14,388
ECE OFFSHORE EQUIPMENT B.V.;WATERINGEN;48,980;0
ECELL B.V.;HENDRIK-IDO-AMBACHT;13,552;23,421
ECEM EUROPEAN CHEMICAL MARKETING B.V.;AMSTERDAM;168,400;-
ECHAIBI;ROTTERDAM;1,776;0
ECHO AUDIO B.V.;MIDDELBURG;1,944;0
ECHT GENIETEN B.V.;ROOSTEREN;27,384;0
ECHT WAARMAKEN B.V.;AMSTELVEEN;5,180;5,576
ECHT WELSCHAP B.V.;EINDHOVEN;10,588;0
ECHTE BAKKER STEEHOUDER VIANEN B.V.;VIANEN UT;25,744;-
ECHTE KAPPERS B.V.;ECHT;10,832;12,950
ECHTENERPOLDERHOEVE B.V.;ECHTENERBRUG;10,132;0
ECINTO TELEMATICA B.V.;HOOGEVEEN;12,384;0
ECIT B.V.;DRONTEN;13,252;20,155
ECK DUYMAER VAN TWIST;ARNHEM;7,968;19,727
ECKHARDT;SNEEK;12,768;11,662
ECKHARDT;LAREN NH;3,168;5,015
ECKHARDT;DELFT;7,804;10,344
ECLECTICIQ B.V.;AMSTERDAM;341,504;350,133
ECLON PROJECTS B.V.;RUURLO;110,784;-
ECM DIALOOG B.V.;NUNSPEET;24,756;17,683
ECM Kraakman-PRONK;EGMOND AAN DEN HOEF;16,724;0
ECM TECHNOLOGIES B.V.;LEEUWARDEN;86,064;-
ECMS EXPRESS (NL) B.V.;OUDE MEER;110,280;71,535
ECO DIGITAL PUBLISHING B.V.;NEDERHORST DEN BERG;11,024;14,055
ECO FILM B.V.;NEEDE;6,500;0
ECO HEATING SYSTEMS GRONINGEN B.V.;GRONINGEN;115,336;0
ECO NOVA B.V.;HENDRIK-IDO-AMBACHT;33,424;71,860
ECO NOVA B.V.;HENDRIK-IDO-AMBACHT;21,296;30,701
ECO PROZESSTECHNIK GMBH;BAD RAPPENAU;13,252;11,881
ECO TEXTIELDRUK B.V.;GRONINGEN;24,936;-
ECOBOUWEN B.V.;TOLDIJK;6,592;0
ECO-BOUWMATERIALEN B.V.;TOLDIJK;5,016;0
ECOCERT B.V.;GRONINGEN;26,396;31,358
ECOFIELD INTERNATIONAL B.V.;NAARDEN;25,136;0
ECOFILL B.V.;ZOETERWOUDE;78,288;24,750
ECOFLY TRAVEL B.V.;UTRECHT;31,204;48,967
ECOFORTE B.V.;ENSCHEDE;141,212;-
ECOGENERATION B.V.;MECHELEN;7,056;10,205
ECOGREEN EUROPE B.V.;S-GRAVELAND;6,144;3,176
ECOLICHT;BEUNINGEN GLD;32,784;22,918
ECOMAEN B.V.;BEEK LB;22,728;9,272
ECOMAMA B.V.;AMSTERDAM;41,328;-
ECONNETIC B.V.;DRIEBERGEN-RIJSENBURG;95,216;63,371
ECONOMIC DEVELOPMENT B.V.;SNEEK;37,804;34,131
E-CONOMY B.V.;DELFT;10,300;17,781
